,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
3129,Lincoln,Wyoming,15999,21.2,18.9,72.7,9.5,7.8,7.0,4.4,1.9000000000000057,13.5,23.7
3130,Natrona,Wyoming,69799,20.5,22.5,80.7,12.1,7.8,7.1,6.4,3.799999999999997,14.4,23.1
3131,Niobrara,Wyoming,2286,21.6,25.1,75.4,14.1,9.3,7.6,4.8,1.0,17.8,26.6
3132,Park,Wyoming,26664,18.2,20.3,78.8,11.7,8.6,7.4,5.3,1.9000000000000057,15.4,22.8
3133,Platte,Wyoming,8619,22.3,22.8,82.2,11.5,10.6,7.4,6.3,1.5,18.0,30.1
3134,Sheridan,Wyoming,27389,19.4,20.2,77.5,11.5,8.1,7.4,6.9,3.0999999999999943,13.5,26.2
3135,Sublette,Wyoming,6926,20.7,22.6,81.9,7.7,7.7,7.3,5.0,1.5999999999999943,11.5,24.3
3136,Sweetwater,Wyoming,37975,23.6,21.9,80.7,8.6,8.1,7.0,5.3,4.5,14.4,22.7
3137,Teton,Wyoming,19032,9.0,9.6,68.8,5.6,4.0,7.6,2.4,2.0999999999999943,9.7,18.9
3138,Uinta,Wyoming,19939,22.7,23.4,83.1,10.6,9.2,6.8,4.8,2.5,15.1,22.5
3139,Washakie,Wyoming,7933,21.1,23.2,78.1,11.1,9.8,7.3,9.4,2.799999999999997,14.8,27.8
3140,Weston,Wyoming,6671,24.2,31.3,75.4,9.9,10.5,7.6,5.7,2.4000000000000057,13.0,26.7
