,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
1332,Douglas,Minnesota,35138,20.9,17.2,76.8,7.7,9.994877340770676,5.703227275314474,7.3,1.5,7.592919346576356,22.2
1335,Freeborn,Minnesota,31946,24.1,21.3,81.7,8.7,13.19727039378952,5.653289926751393,6.9,2.0,10.198459901083078,29.6
1336,Goodhue,Minnesota,45585,20.6,14.2,73.4,6.1,9.024898541186793,5.539102775035647,3.4,3.200000000000003,6.782932982340682,25.8
1338,Hennepin,Minnesota,1119364,18.2,14.8,73.4,9.1,6.349766474533753,5.483649643904932,4.3,19.0,8.715484864619553,20.1
1341,Isanti,Minnesota,37664,23.4,20.6,83.2,6.1,8.830713678844521,5.511894647408666,5.1,2.4000000000000057,6.457094307561598,15.3
1342,Itasca,Minnesota,44384,21.4,11.9,76.6,9.9,9.960796683489546,5.659697188175919,8.3,5.200000000000003,11.486121124729634,21.7
1345,Kandiyohi,Minnesota,41199,25.2,17.5,80.3,9.5,10.96385834607636,5.4588703609310905,6.6,1.9000000000000057,11.361926260346126,27.9
1354,McLeod,Minnesota,36636,25.4,16.4,77.3,6.1,10.183972049350366,5.396331477235506,6.3,1.9000000000000057,8.592641118025986,25.9
1360,Morrison,Minnesota,32788,24.2,20.1,72.0,9.4,13.410394046602416,5.453214590703916,7.0,1.4000000000000057,11.610955227522265,22.7
1361,Mower,Minnesota,38799,25.8,14.7,72.7,9.2,11.935874635944225,5.464058352019382,5.9,3.9000000000000057,9.20900023196474,31.3
1363,Nicollet,Minnesota,30848,23.5,12.9,72.2,7.5,6.068464730290456,5.494683609958506,3.3,3.5,7.053941908713693,23.0
1366,Olmsted,Minnesota,135189,21.9,14.1,70.0,6.8,5.902107419982395,5.393929979510167,3.5,10.099999999999994,6.912544659698644,21.4
1367,Otter Tail,Minnesota,57658,23.5,23.9,85.9,9.6,12.931423219674635,5.633216552776718,5.5,1.9000000000000057,11.32887023483298,31.4
1373,Ramsey,Minnesota,494920,21.3,17.6,73.6,10.7,8.040087286834236,5.3839004283520575,4.7,21.700000000000003,11.038349632263799,21.2
1377,Rice,Minnesota,60949,24.6,15.4,75.7,7.2,9.010812318495793,5.4931171963444845,5.2,4.799999999999997,8.34304090305009,27.4
1380,St. Louis,Minnesota,197179,18.5,16.9,76.4,10.5,8.560749369861902,5.685189599298099,6.0,5.200000000000003,8.837147972147136,24.2
1381,Scott,Minnesota,119825,21.0,13.9,77.5,3.8,5.621531399958273,5.167535989985395,3.5,9.0,6.456081785937825,17.0
1382,Sherburne,Minnesota,81752,24.1,20.4,76.0,4.6,6.2261473725413445,5.276935120853313,6.2,3.5999999999999943,6.4157451805460415,19.6
1384,Stearns,Minnesota,142654,18.9,16.1,77.1,8.0,8.372705987914815,5.469878166753123,3.9,4.700000000000003,7.431968258864105,18.9
1385,Steele,Minnesota,35755,16.3,21.7,74.4,6.8,8.698084184030206,5.383862396867571,4.8,3.700000000000003,7.517829674171445,20.5
1393,Washington,Minnesota,220426,20.2,15.1,73.9,4.7,3.8706867610898894,5.303367116401876,4.6,9.299999999999997,7.052707030931016,22.2
1396,Winona,Minnesota,49276,21.5,21.4,72.8,9.7,9.590875882782694,5.623427226235895,4.6,4.299999999999997,8.965825148145141,25.9
1397,Wright,Minnesota,110730,24.5,16.9,79.9,4.9,7.43249345254222,5.228032150275444,2.9,3.0999999999999943,6.194346608868419,25.6
1399,Adams,Mississippi,32099,28.2,30.1,80.5,22.3,17.71394747499922,5.847534191096296,12.2,56.5,20.495965606405182,47.1
1400,Alcorn,Mississippi,35306,24.1,33.3,74.4,16.2,22.118053588625163,6.007477482580864,8.9,12.299999999999997,13.082762136747295,30.8
1404,Bolivar,Mississippi,38641,34.0,31.3,82.8,27.3,19.947723920188402,5.628736316347921,10.4,66.5,23.640692528661265,35.6
1413,Copiah,Mississippi,29164,35.7,36.7,78.4,21.2,19.14003566040324,5.7639555616513505,7.6,51.4,18.951446989439034,33.6
1415,DeSoto,Mississippi,137004,24.6,29.6,85.4,8.6,11.868266619952703,5.739248489095209,8.0,19.0,9.464687162418615,26.6
1416,Forrest,Mississippi,75095,28.1,31.1,82.1,20.4,12.239163725947133,5.877888008522538,6.6,36.7,16.820027964578202,29.6
1421,Hancock,Mississippi,46711,25.1,31.4,81.1,15.7,15.21269080088202,5.994305409860632,9.8,9.400000000000006,15.251225621373981,31.6
1422,Harrison,Mississippi,193810,26.8,29.5,80.7,16.5,12.699035137505804,5.776275733966255,10.5,27.700000000000003,15.494040555182911,29.3
1423,Hinds,Mississippi,249345,26.1,31.9,81.5,20.5,12.065611903186348,5.660831378210913,9.2,66.7,16.181194730193106,29.7
1428,Jackson,Mississippi,135940,26.1,28.1,75.9,15.0,12.365749595409739,5.804031190230984,9.6,25.099999999999994,14.104016477857877,30.4
1432,Jones,Mississippi,66160,29.9,34.2,84.4,18.7,17.035973397823458,5.840386940749697,9.4,28.599999999999994,17.471281741233373,34.7
1434,Lafayette,Mississippi,40842,22.3,20.4,82.3,15.8,11.982762842172272,6.15053131580236,6.8,26.700000000000003,13.44939033348024,24.2
1435,Lamar,Mississippi,44616,29.2,26.0,79.7,13.9,10.641922180383718,5.7580240272547965,7.2,15.799999999999997,13.12085350546889,25.4
1436,Lauderdale,Mississippi,77218,26.5,27.0,78.6,18.8,16.253982232122045,5.738299360252791,8.0,42.1,15.385013856872751,33.4
1439,Lee,Mississippi,78793,25.5,33.1,77.5,14.1,16.458314824920993,5.741626794258373,9.8,27.299999999999997,13.03161448352011,35.7
1440,Leflore,Mississippi,36431,30.7,49.5,86.3,29.4,22.29694490955505,5.5529631357909475,11.9,71.5,24.28700831709259,39.6
1441,Lincoln,Mississippi,33906,27.1,29.3,88.0,17.7,18.59847814546098,5.869167698932342,8.4,30.900000000000006,15.336518610275467,36.0
1442,Lowndes,Mississippi,59895,24.3,30.4,80.6,19.2,15.343517822856667,5.6832790717088235,10.6,44.7,15.961265548042409,28.2
1443,Madison,Mississippi,84286,25.8,21.0,80.8,13.2,10.770471964501816,5.71269249934746,5.5,40.2,11.577248890681727,21.9
1444,Marion,Mississippi,25235,31.0,38.7,80.6,21.7,21.450366554388744,5.761838716068952,10.4,33.3,18.981573211808993,25.1
